"id","ruc","razon_social","departamento","provincia","distrito","direccion","cobertura","estado","created_at","updated_at"
"158","20611599197","VILCANOTA EXPRESS S.A.C.","CUSCO","CUSCO","SANTIAGO","URB. HUANCARO 1-2-3","SICUANI",,,
"159","20602395040","APUSUR CARGO E.I.R.L","LIMA","LIMA","LA VICTORIA","JR. RENOVACION 555 - LA VICTORIA","ABANCAY",,,
"160","20600876211","GRAU LOGISTICA EXPRESS S.A.","LA LIBERTAD","TRUJLLO","TRUJLLO","AV. AMERICA SUR NRO 2104 URB SANTA MARIA","CHIMBOTE",,,"2025-09-03 21:29:57"
"161","20611130067","EMPRESA DE TRANSPORTE EXPRESO SAYA E.I.R.L.","LIMA","LIMA","LA VICTORIA","AVENIDA LUNA PIZARRO N° 322","MADRE DE DIOS",,,
"162","10740719594","TOLENTINO BAZAN FRAN DIEGO - LOGISTICA YA ACOK AGIL Y SEGURA","LIMA","LIMA","LA VICTORIA","JR. RENOVACIÓN 318",,,,"2025-09-12 22:06:47"
"163","10740719594","TOLENTINO BAZAN FRAN DIEGO - LOGISTICA YA ACOK AGIL Y SEGURA","LIMA","LIMA","LA VICTORIA","Av. 28 de julio 1581, Ref. Terminal La Merced interior 7",,,,
"164","20498189637","AREQUIPA EXPRESO MARVISUR EIRL","LIMA","LIMA","LA VICTORIA","Jr. Humboldt 980 esq. con Jr Cangallo 600 - La Victoria","Arequipa, Espinar, Challhuahuacho, Velille, Santo Tomás, Sicuani",,,
"165","10740719594","TOLENTINO BAZAN FRAN DIEGO - LOGISTICA YA ACOK AGIL Y SEGURA","LIMA","LIMA","SAN LUIS","RIO NAZCA 243",,,,
"166","20132757187","EMPRESA DE TRANSPORTES EXPRESO LOBATO SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LA VICTORIA","Av. 28 de Julio 2101, La Victoria 15018",,,,
"167","20602900747","EXPRESSO BENAVIDES S.A.C.","LIMA","LIMA","LA VICTORIA","Jr. Manuel Cisneros 299, La Victoria 15033",,,,
"168","20614277221","MULTISERVICIOS TRANSPORTES & DISTRIBUCIONES EVANAN CARGO E.I.R.L.","AYACUCHO","HUAMANGA","AYACUCHO","JR. QUINUA NRO. 520 - DETRAS DE LA CLINICA NAZARENO","AYACUCHO",,,
"169","20513877324","EMPRESA DE TRANSPORTES MARIN HERMANOS SOCIEDAD ANONIMA CERRADA","LIMA","LIMA","LOS OLIVOS","AV. UNIVERSITARIA CD 38 MZA. A LOTE. 12",,,,
"170","20612084956","TRANSPORTE CURRIER SOLANO S.R.L.","ANCASH","HUARAZ","HUARAZ","Jr.Damaso Antúnez 748, Barrio Belén",,,,
"171","20602612911","EL AGUILA CARGO EXPRESS S.A.C.","LIMA","LIMA","LA VICTORIA","PRO.CANGALLO NRO. 667 URB. EL PORVENIR",,,,
"172","20602612911","EL AGUILA CARGO EXPRESS S.A.C.","LAMBAYEQUE","CHICLAYO","JOSE LEONARDO ORTIZ","San Marcos MZ B, José Leonardo Ortiz 14002",,,,"2025-12-04 15:07:22"
"173","20601470561","SERVICIO DE TRANSPORTES DE CARGA MIGRIVAL S.R.L.","LIMA","LIMA","LA VICTORIA","JR. HIPOLITO UNANUE 811",,,,"2025-12-11 14:58:34"
"174","20608751531","TRANSERVIS MARY E.I.R.L.","LIMA","LIMA","LA VICTORIA","JR. MANUEL CISNEROS NRO. 1020 (A 1.5 CDRAS DEL ESTADIO ALIANZA LIMA)",,,,
"175","10722569445","RIVERA SALAZAR JORGE LUIS - RIVERA CARGO","LIMA","LIMA","LIMA/CENTRO","LUNA PIZARRO 424 / CRUCE 28 DE JULIO",,,,"2025-12-23 18:05:10"
"176","10722569445","RIVERA SALAZAR JORGE LUIS","LIMA","LIMA","LIMA/CENTRO","LUNA PIZARRO 424 / CRUCE 28 DE JULIO",,,,
"177","20600876211","GRAU LOGISTICA EXPRESS S.A.","Lambayeque","Chiclayo","La Victoria","Mz. 34 Lt. 3 – La Victoria – Chosica del Norte",,,,
"178","20611379065","OPERADOR LOGISTICO POOL E.I.R.L.","LIMA","LIMA","ATE","PROLONGACIÓN MARISCAL DOMINGO NIETO 217 - LOS SAUCES ATE",,,,"2026-01-05 14:17:31"
"179","20605392416","VIAJES PERU COURIER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","LIMA","LIMA","LA VICTORIA","JR Antonio Basso N 1490 con av México frente a Gamarra",,,,
"180","20602567762","TRANSPORTES JOSY SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - TRANSPORTES JOSY S.R.L.","LIMA","LIMA","LA VICTORIA","Jr. Hipólito Unanue N° 808,  Ref. Estadio Matute",,,,
